genotype	max_height_cm	max_growth_cm_gdd
PI569427	202.159223359951	0.348470462016974
PI656026	200.197787941902	0.347567832260537
PI329841	359.035731302732	0.364937238591164
PI156330	269.956611722799	0.315065121852038
PI569886	263.256294887585	0.324810206449842
PI585961	274.386703534217	0.2863181013578
PI593916	282.61256487934	0.321217743860104
PI563006	293.863209706619	0.5039485634677
PI455221	292.4007090382	0.364934782902698
PI152771	241.761869016634	0.284269495689879
PI276837	351.677566835207	0.372230867959507
PI521152	248.224253860817	0.338060550069395
PI156326	235.103713942566	0.34184323641718
PI569443	254.156207518888	0.320756820767255
PI563196	223.765965875772	0.387068577112952
PI156463	356.934264141194	0.322930315886433
PI154846	332.948000319464	0.416713600964444
PI576401	273.489957451017	0.260957975947687
PI329644	310.030579687129	0.424568119582146
PI570109	191.166481144232	0.209858133846472
PI525049	339.368201917792	0.361018186996067
PI563009	273.203628302236	0.297557203734651
PI329465	320.32363132291	0.413568796380251
PI511355	335.833392225203	0.41666939072656
PI569460	326.649816284058	0.340023367884925
PI570400	306.765560099091	0.347202770255084
PI641835	325.839285244615	0.39207232830321
PI564163	203.286575079274	0.201128779161198
PI303658	341.548503863979	0.444836393487251
PI573193	334.266536174632	0.413501829381268
PI646242	212.455990631259	0.328821651916223
PI563020	299.61640590724	0.280013599643657
PI197542	310.622203230372	0.370539126202499
PI455307	302.731542013249	0.384291623195448
PI155885	319.342127246814	0.328823997310637
PI570254	309.303942644343	0.335509602300448
PI329435	336.572330598152	0.268536332367124
PI655972	313.803166711666	0.374323505907415
PI570091	256.543179517668	0.383859388703872
PI563350	320.314079292939	0.329844728814337
PI329550	229.877587183679	0.307062997033735
PI569423	284.739041415022	0.416431284691145
PI585406	289.349115330631	0.336705877233923
PI585954	316.219722012915	0.275285887688751
PI561840	293.631728755819	0.245504286356853
PI570073	295.053569607649	0.430065238278973
PI297155	302.665871775033	0.431884186306284
PI533998	301.746382221789	0.318057552648192
PI527045	320.161006441873	0.243963608134765
PI570042	283.860141827309	0.30207949783619
PI585452	330.30903956883	0.304092890262579
PI562982	231.765661072734	0.281679383742232
PI329546	273.610565957951	0.343939060353171
PI329256	238.361274816777	0.352957175429356
PI329646	349.725213356325	0.356857978003102
PI569455	250.470145578934	0.330593260911025
PI619838	324.703187485908	0.38601978744455
PI570114	253.487961378886	0.333615293956148
PI570074	265.286244877552	0.364889275286108
PI569444	334.642033813169	0.4109044516331
PI329480	303.968523806347	0.346754488446609
PI563002	289.221703140311	0.396033347212459
PI506030	316.721758168501	0.378279895560722
PI506122	292.675204340363	0.343329875319978
PI534120	280.35674524649	0.427548563466401
PI156871	366.733891661646	0.369757070088878
PI570106	252.943664088808	0.408461226341181
SP1516	315.41904021129	0.341104018479644
PI152965	318.164427050052	0.419537758917201
PI562998	210.540667669338	0.242381110427245
PI576399	330.344869986736	0.370186231117729
PI510757	291.339293083509	0.343501946690799
PI646266	318.56157821285	0.350336023499931
PI329338	366.536780933957	0.418132725168648
PI170787	326.511664321157	0.423260132369544
PI570038	280.936521290856	0.281019910454283
PI329645	199.638059495467	0.275845341675456
PI535795	298.759804110483	0.443510271545537
PI196583	281.469776596326	0.368181087261483
PI330196	291.606753261043	0.390078466386379
PI570076	326.434520103064	0.344380860589084
PI562991	366.297057183003	0.371207666278848
PI267573	253.253482702785	0.335905411208336
PI329471	244.298679587073	0.319383015477352
PI570075	250.06919472033	0.380683447439294
PI620072	271.716132572759	0.467365163226812
PI533902	236.034378501715	0.26305139778415
PI35038	298.164234738535	0.426681493142388
PI570373	283.050791192511	0.393602206142405
PI156217	355.831123153978	0.381199913872106
