QTL Search | OZ Sorghum						
QTL Id	Publication	Population	Trait Description	LG:Start-End (v3.0)	Genes Under QTL (v3.0)	Synteny
QDMGR1.22	Fiedler et al 2016	Pop1	Dry matter growth rate	1:3988239-49935193	2261	
QDMGR1.1	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	1:4152458-4793959	88	
QDMGR1.25	Fiedler et al 2016	Diversity set (biomass) (n=194)	Dry matter growth rate	1:6784322-6971033	27	
QDMGR1.2	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	1:8927586-9873328	123	
QDMGR1.3	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	1:12014907-12371285	51	
QDMGR1.4	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	1:13332874-14428903	103	
QDMGR1.5	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	1:50213605-51743889	43	
QDMGR1.6	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	1:55359817-57251504	127	
QDMGR1.7	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	1:55359817-57251504	127	
QDMGR1.8	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	1:59090956-59250016	9	
QDMGR1.9	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	1:59090956-59250016	9	
QDMGR1.23	Fiedler et al 2016	Pop2	Dry matter growth rate	1:59972174-65331272	525	
QDMGR1.10	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	1:60953424-60964157	2	
QDMGR1.11	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	1:60953424-60964157	2	
QDMGR1.12	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	1:63695437-64016355	31	
QDMGR1.13	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	1:63695437-64016355	31	
QDMGR1.14	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	1:63695437-64016355	31	
QDMGR1.15	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	1:63695437-64016355	31	
QDMGR1.16	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	1:65297392-65404496	18	
QDMGR1.17	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	1:65297392-65404496	18	
QDMGR1.18	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	1:65297392-65404496	18	
QDMGR1.26	Fiedler et al 2016	Diversity set (biomass) (n=194)	Dry matter growth rate	1:65336841-65443945	16	
QDMGR1.21	Fiedler et al 2016	Pop1	Dry matter growth rate	1:67249049-74511826	932	
QDMGR1.24	Fiedler et al 2016	Diversity set (biomass) (n=194)	Dry matter growth rate	1:70999692-71221704	32	
QDMGR1.19	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	1:74611247-74758646	12	
QDMGR1.20	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	1:77441094-77629746	24	
QDMGR2.1	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	2:2526767-2650471	15	
QDMGR2.2	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	2:2526767-2650471	15	
QDMGR2.3	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	2:2526767-2650471	15	
QDMGR2.17	Fiedler et al 2016	Diversity set (biomass) (n=194)	Dry matter growth rate	2:2566330-2781047	25	
QDMGR2.4	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	2:4825851-5735436	88	
QDMGR2.16	Fiedler et al 2016	Diversity set (biomass) (n=194)	Dry matter growth rate	2:7609150-7754547	14	
QDMGR2.5	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	2:10355334-10524215	11	
QDMGR2.6	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	2:10355334-10524215	11	
QDMGR2.15	Fiedler et al 2016	Pop1	Dry matter growth rate	2:62050122-71145714	1186	
QDMGR2.7	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	2:64143885-64863424	94	
QDMGR2.8	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	2:64143885-64863424	94	
QDMGR2.9	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	2:64143885-64863424	94	
QDMGR2.10	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	2:64876159-65116538	31	
QDMGR2.11	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	2:65028187-65381593	53	
QDMGR2.12	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	2:65028187-65381593	53	
QDMGR2.13	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	2:74934924-75348619	57	
QDMGR2.14	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	2:74934924-75348619	57	
QDMGR3.13	Fiedler et al 2016	Pop2	Dry matter growth rate	3:0-10891127	1254	
QDMGR3.1	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	3:825391-1886609	133	
QDMGR3.2	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	3:825391-1886609	133	
QDMGR3.14	Fiedler et al 2016	Pop2	Dry matter growth rate	3:3004666-47383447	1562	
QDMGR3.15	Fiedler et al 2016	Diversity set (biomass) (n=194)	Dry matter growth rate	3:5547972-5741089	35	
QDMGR3.3	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	3:6152683-6954960	94	
QDMGR3.4	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	3:6152683-6954960	94	
QDMGR3.5	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	3:6152683-6954960	94	
QDMGR3.6	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	3:6152683-6954960	94	
QDMGR3.7	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	3:6152683-6954960	94	
QDMGR3.16	Fiedler et al 2016	Diversity set (biomass) (n=194)	Dry matter growth rate	3:10967123-11031270	3	
