QTL Search | OZ Sorghum						
QTL Id	Publication	Population	Trait Description	LG:Start-End (v3.0)	Genes Under QTL (v3.0)	Synteny
QHGHT1.30	Cuevas & Prom 2020	NPGS Sudan Sorghum Core collection	Height (plant height)	1:0-211157	21	
QHGHT1.37	Liu et al 2019	Tx623 x S. virgatum	Plant Height/Panicle Length	1:0-4093151	554	
QTHGT1.1	Feltus et al 2006	BTx623/S. propinquum	Tiller height	1:0-10384146	1370	
QHGHT1.35	Liu et al 2019	Tx623 x S. virgatum	Height (plant height)	1:0-13145267	1666	
QPLEN1.12	Rami et al 1998	IS2807/379	Panicle length	1:3984727-7587829	481	
QHGHT1.2	Kebede et al 2001	SC56/Tx7000	Height (plant height)	1:4862819-7562505	367	
QHGHT1.34	Liu et al 2019	Tx623 x S. virgatum	Height (plant height)	1:5121172-10603925	710	
QHGHT1.27	Bouchet et al 2017	Nested Association Mapping set US	Height (plant height)	1:8969025-10231643	166	
QHGHT1.3	Higgins et al 2014	"Families A&B&C: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406))"	Height (plant height)	1:12440782-12574938	5	
QHGHT1.4	Higgins et al 2014	"Families A&B&C&D: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406)), (SC1038/(LandracexBTx406))"	Height (plant height)	1:12440782-12574938	5	
QPEDL1.1	Parh 2005	IS8525/R931945-2-2	Peduncle length	1:12453078-17085695	381	
QPLEN1.14	Takai et al 2012	MS138B/74LH3213	Panicle length	1:14473430-24238624	675	
QTHGT1.2	Hart et al 2001	BTx623/IS3620C	Tiller height	1:22334383-52225029	459	
QHGHT1.6	Nagaraja Reddy et al 2013	M35-1/B35	Height (plant height)	1:24078773-53916420	456	
QHGHT1.5	Hart et al 2001	BTx623/IS3620C	Height (plant height)	1:24186681-52681319	414	
QHGHT1.31	Cuevas & Prom 2020	NPGS Sudan Sorghum Core collection	Height (plant height)	1:24706144-49768400	312	
QHGHT1.7	Upadhyaya et al 2013b	mini-core set	Height (plant height)	1:53201472-53762081	13	
QPLEN1.18	Pereira et al 1995	CK60/PI229828	Panicle length	1:53383165-60346271	420	
QHGHT1.8	Guan et al 2011	Shihong137/L-Tian	Height (plant height)	1:54541207-58709704	253	
QHGHT1.22	Burks et al 2015	Sweet sorghum diversity panel (n=252)	Height (plant height)	1:55443908-57260691	124	
QSILN1.1	Hilley et al 2016	Hegari/80M	Stem internode length	1:57814833-67709468	962	
QHGHT1.36	Liu et al 2019	Tx623 x S. virgatum	Plant Height/Panicle Length	1:59838155-65758901	586	
QHGHT1.1	Mocoeur et al 2015	E-Tian/Ji2731	Height (plant height)	1:60761235-63338491	247	
QHGHT1.9	Ritter et al 2008	R9188/R9403463-2-1	Height (plant height)	1:62300652-63488948	113	
QHGHT1.28	Bouchet et al 2017	Nested Association Mapping set US	Height (plant height)	1:62346177-63163769	87	
QHGHT1.23	Wang et al 2016	Shihong137/L-Tian	Height (plant height)	1:63156348-64948356	171	
QHGHT1.39	Marla et al 2019	"NAM (BTx623 x Niu Shen Zui, Hong Ke Zi & Kaoliang) - JLM"	Height (plant height)	1:63246853-63261969	2	
QPEDL1.2	Klein et al 2001	RTx430/Sureno	Peduncle length	1:64685255-66607564	215	
QHGHT1.10	Sakhi et al 2013	Diversity research set (n=107)	Height (plant height)	1:65810643-66259704	49	
QHGHT1.11	Sakhi et al 2013	Diversity research set (n=107)	Height (plant height)	1:65810643-66259704	49	
QHGHT1.29	Boyles et al 2017	BTxARG-1/PI656056	Height (plant height)	1:67800819-71268120	453	
QHGHT1.12	Shiringani et al 2010	M71/SS79	Height (plant height)	1:67845190-70448561	345	
QHGHT1.40	Marla et al 2019	"NAM (BTx623 x Niu Shen Zui, Hong Ke Zi & Kaoliang) - JLM"	Height (plant height)	1:67892129-67900035	2	
QPLEN1.24	Takai et al 2012	MS138B/74LH3213	Panicle length	1:67976288-70031057	274	
QPLEN1.25	Takai et al 2012	MS138B/74LH3213	Panicle length	1:67986544-69969008	267	
QPLEN1.23	Takai et al 2012	MS138B/74LH3213	Panicle length	1:67987870-69960981	265	
QHGHT1.24	Wang et al 2016	Shihong137/L-Tian	Height (plant height)	1:68010881-72248842	555	
QHGHT1.25	Wang et al 2016	Shihong137/L-Tian	Height (plant height)	1:68050538-72016423	516	
QHGHT1.38	Marla et al 2019	BTx623/Hong Ke Zi (CIM)	Height (plant height)	1:68077922-69728620	222	
QHGHT1.13	Rami et al 1998	IS2807/379	Height (plant height)	1:69552100-71436960	245	
QHGHT1.26	Wang et al 2016	Shihong137/L-Tian	Height (plant height)	1:69750253-71398896	215	
QHGHT1.21	Mocoeur et al 2015	E-Tian/Ji2731	Height (plant height)	1:69892099-74204679	551	
QHGHT1.15	Feltus et al 2006	BTx623/IS3620C	Height (plant height)	1:69944222-72244293	294	
QHGHT1.14	Hart et al 2001	BTx623/IS3620C	Height (plant height)	1:70051648-71848220	225	
QPLEN1.27	Pereira et al 1995	CK60/PI229828	Panicle length	1:70924602-76912479	742	
QPLEN1.26	Rami et al 1998	IS2807/379	Panicle length	1:71009231-74176341	405	
QHGHT1.17	Wang et al 2014a	IS8525/R931945-2-2	Height (plant height)	1:74818452-78396425	446	
QHGHT1.32	Cuevas & Prom 2020	NPGS Sudan Sorghum Core collection	Height (plant height)	1:74861286-75074421	23	
QHGHT1.16	Kebede et al 2001	SC56/Tx7000	Height (plant height)	1:75100899-75610212	66	
QHGHT1.18	Lin et al 1995	BTx623/S. propinquum	Height (plant height)	1:75434106-80878678	663	
QHGHT1.33	Cuevas & Prom 2020	NPGS Sudan Sorghum Core collection	Height (plant height)	1:76632844-77179306	73	
QTHGT1.3	Feltus et al 2006	BTx623/S. propinquum	Tiller height	1:77174548-80878678	445	
QHGHT1.19	Parh 2005	IS8525/R931945-2-2	Height (plant height)	1:77677015-80878678	379	
QHGHT1.20	Parh 2005	IS8525/R931945-2-2	Height (flag leaf height)	1:77906780-80878678	351	
QPEDL1.3	Parh 2005	IS8525/R931945-2-2	Peduncle length	1:78396425-80878678	288	
QHGHT2.9	Bouchet et al 2017	Nested Association Mapping set US	Height (plant height)	2:1212467-1328598	18	
QHGHT2.6	Bouchet et al 2017	Nested Association Mapping set US	Height (plant height)	2:20403133-48551270	232	
QHGHT2.14	Marla et al 2019	"NAM (BTx623 x Niu Shen Zui, Hong Ke Zi & Kaoliang) - JLM"	Height (plant height)	2:46920192-47906825	28	
